2025-12-29 23:13:59,893 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 392, 569)
2025-12-29 23:13:59,905 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3617, 798) localPos=PyQt5.QtCore.QPoint(3617, 798)
2025-12-29 23:13:59,908 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 394, 572)
2025-12-29 23:13:59,921 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3621, 809) localPos=PyQt5.QtCore.QPoint(3621, 809)
2025-12-29 23:13:59,928 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 398, 583)
2025-12-29 23:13:59,940 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3625, 822) localPos=PyQt5.QtCore.QPoint(3625, 822)
2025-12-29 23:13:59,942 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3625, 825) localPos=PyQt5.QtCore.QPoint(3625, 825)
2025-12-29 23:13:59,945 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 402, 599)
2025-12-29 23:13:59,956 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3625, 837) localPos=PyQt5.QtCore.QPoint(3625, 837)
2025-12-29 23:13:59,960 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 402, 611)
2025-12-29 23:13:59,969 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3626, 853) localPos=PyQt5.QtCore.QPoint(3626, 853)
2025-12-29 23:13:59,972 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 403, 627)
2025-12-29 23:13:59,980 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3626, 859) localPos=PyQt5.QtCore.QPoint(3626, 859)
2025-12-29 23:13:59,983 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 403, 633)
2025-12-29 23:13:59,990 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3626, 887) localPos=PyQt5.QtCore.QPoint(3626, 887)
2025-12-29 23:13:59,995 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 403, 661)
2025-12-29 23:14:00,006 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3626, 897) localPos=PyQt5.QtCore.QPoint(3626, 897)
2025-12-29 23:14:00,010 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 403, 671)
2025-12-29 23:14:00,017 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3628, 939) localPos=PyQt5.QtCore.QPoint(3628, 939)
2025-12-29 23:14:00,020 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 405, 713)
2025-12-29 23:14:00,030 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3628, 949) localPos=PyQt5.QtCore.QPoint(3628, 949)
2025-12-29 23:14:00,033 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 405, 723)
2025-12-29 23:14:00,045 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3628, 981) localPos=PyQt5.QtCore.QPoint(3628, 981)
2025-12-29 23:14:00,048 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 405, 755)
2025-12-29 23:14:00,063 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3628, 1011) localPos=PyQt5.QtCore.QPoint(3628, 1011)
2025-12-29 23:14:00,065 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 405, 785)
2025-12-29 23:14:00,078 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3631, 1032) localPos=PyQt5.QtCore.QPoint(3631, 1032)
2025-12-29 23:14:00,083 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 408, 806)
2025-12-29 23:14:00,097 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3637, 1068) localPos=PyQt5.QtCore.QPoint(3637, 1068)
2025-12-29 23:14:00,100 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 414, 842)
2025-12-29 23:14:00,112 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3648, 1102) localPos=PyQt5.QtCore.QPoint(3648, 1102)
2025-12-29 23:14:00,116 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 425, 876)
2025-12-29 23:14:00,131 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3657, 1129) localPos=PyQt5.QtCore.QPoint(3657, 1129)
2025-12-29 23:14:00,135 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 434, 903)
2025-12-29 23:14:00,148 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3669, 1153) localPos=PyQt5.QtCore.QPoint(3669, 1153)
2025-12-29 23:14:00,153 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 446, 927)
2025-12-29 23:14:00,168 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3671, 1162) localPos=PyQt5.QtCore.QPoint(3671, 1162)
2025-12-29 23:14:00,170 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 448, 936)
2025-12-29 23:14:00,180 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3673, 1162) localPos=PyQt5.QtCore.QPoint(3673, 1162)
